task,subject_id,age_group,split
rest10,ICC205A,9mo,train
rest10,ICC207,2mo,train
rest10,ICC211,2mo,train
rest10,ICC213,2mo,train
rest10,ICC217,2mo,train
rest10,ICC221,2mo,train
rest10,ICC221A,9mo,test
rest10,ICC223,2mo,train
rest10,ICC225,2mo,train
rest10,ICC227,2mo,train
rest10,ICC229,2mo,test
rest10,ICC233,2mo,train
rest10,ICC235,2mo,val
rest10,ICC237,2mo,train
rest10,ICC239A,9mo,train
rest10,ICC241,2mo,train
rest10,ICC243A,9mo,train
rest10,ICC253,2mo,train
rest10,ICC255,2mo,train
rest10,ICC257,2mo,test
rest10,ICC257A,9mo,train
rest10,ICC37,2mo,train
rest10,ICC43A,9mo,train
rest10,ICC47,2mo,val
rest10,ICC51,2mo,train
rest10,ICC53,2mo,test
rest10,ICC53A,9mo,train
rest10,ICC55,2mo,train
rest10,ICC59,2mo,train
rest10,ICC63,2mo,train
rest10,ICC7,2mo,train
rest10,ICC75,2mo,train
rest10,ICC7A,9mo,val
rest10,ICC81,2mo,train
rest10,ICC83,2mo,train
rest10,ICC83A,9mo,test
rest10,ICC85,2mo,train
rest10,ICC85A,9mo,train
rest10,ICC87,2mo,train
rest10,ICC89,2mo,train
rest10,ICC91,2mo,train
rest10,ICC93,2mo,train
rest10,ICN14,2mo,train
rest10,ICN14A,9mo,train
rest10,ICN2,2mo,train
rest10,ICN48,2mo,train
rest10,ICN50,2mo,train
rest10,ICN8,2mo,train
rest10,ICN8A,9mo,test
rest10,IRC109,2mo,train
rest10,IRC13,2mo,train
rest10,IRC19,2mo,train
rest10,IRC21,2mo,train
rest10,IRC27A,9mo,train
rest10,IRC29,2mo,test
rest10,IRC29A,9mo,val
rest10,IRC3,2mo,train
rest10,IRC31,2mo,train
rest10,IRC41,2mo,train
rest10,IRC41A,9mo,test
rest10,IRC45,2mo,train
rest10,IRC61,2mo,val
rest10,IRC69A,9mo,train
rest10,IRC99,2mo,test
rest10,IRC9A,9mo,test
rest10,IRN1,2mo,train
rest10,IRN12,2mo,train
rest10,IRN1A,9mo,val
rest10,IRN20,2mo,train
rest10,IRN20A,9mo,train
rest10,IRN26,2mo,train
rest10,IRN26A,9mo,val
rest10,IRN30,2mo,train
rest10,IRN32,2mo,train
rest10,IRN34,2mo,val
rest10,IRN44,2mo,val
rest10,IRN52,2mo,train
rest10,IRN60,2mo,test
rest10,IRN62,2mo,train
rest10,IRN62A,9mo,train
rest10,IRN64,2mo,train
rest10,IRN66,2mo,train
rest10,IRN68,2mo,train
rest10,IRN72,2mo,train
rest10,IRN74,2mo,val
rest10,IRN76,2mo,train
